"region","municipality","county","dummy_coast","hh_category","land_area","holiday_homes","future_hh_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
"3819","Hjartdal","Vestfold og Telemark",0,3,737.12,2476,8.433016,665,2.628450106,1480000,0.0027,0.0404,0.0131,1573,75194.375,0.029934334,-0.082602642,0.302104106,4297,1.985497236,1562,-6.757557795,48,0,46.9,293997.3531,2400454.229,409800,3.6,0.673,0.7052,1.5,82474,23,0,0,6611.450775,4.232682954,118.9609608
"3820","Seljord","Vestfold og Telemark",0,3,669.27,1399,7.483129,587,0.823425544,1e+06,0.0018,0.0316,0.0299,1415,73160.03906,-0.128142789,0.120730653,0.193058212,4611,2.179510117,2889,-1.366120219,46,0.49,26.4,190575.2524,2340014.566,405300,6.4,0.667333333,0.6988,1.8,72568,127,0,0,3747.810784,1.297269223,221.664009
"3821","Kviteseid","Vestfold og Telemark",0,3,623.06,1227,4.986227,271,0.800391389,2037530,0.0015,0.0171,0.0398,1064,64931.89063,-0.099155046,1.043321133,0.026514726,3982,2.338396788,2452,-9.898762655,49,0.32,28.4,171271.1804,2553021.603,406000,7.3,0.676333333,0.6783,-1.9,73039,22,5,1,4771.74604,1.946062822,128.5743514
"3822","Nissedal","Vestfold og Telemark",0,3,785.9,2430,7.456928,298,2.970660147,2205000,0.0024,0.0271,0.04,883,45694.21484,-0.350277752,1.58992672,0.048592732,1020,1.61124301,1414,0.0691085,47,0.38,27.1,239975.0617,2207413.402,416000,4,0.676333333,0.5599,-2.8,86739,12,0,1,6421.076788,4.541072693,150.9112889
"3823","Fyresdal","Vestfold og Telemark",0,3,1106.74,1323,9.930883,283,1.792682927,870000,9e-04,0.0344,0.019,985,69553.39844,-0.274528146,0.738881648,0.041798435,4044,1.261095285,1198,-4.87804878,48,0.3,32.2,31896.24288,2381700.354,414700,5.5,0.688666667,0.6,2.9,88856,94,0,6,1158.799017,0.967277978,139.8066835
"3824","Tokke","Vestfold og Telemark",0,3,904.64,1162,9.68622,321,0.805825243,873000,0.0012,0.0349,0.012,1450,73617.86719,-0.436904728,0.006674846,0.008743713,7604,2.044541597,2140,-12.1707901,48,0.25,28.1,31740.23013,2274984.045,431000,4.6,0.691666667,0.5521,3.6,81518,87,2,0,4931.726074,2.304544895,218.4355573
"3825","Vinje","Vestfold og Telemark",0,3,2724.84,5713,7.150154,1276,2.489324619,2992700,0.0015,0.0443,0.0181,1458,65931.17188,0.092897564,-1.288582325,0.310214103,8765,0.99314326,3755,-4.988369088,44,0.33,30.6,47274.80438,2467016.853,432000,6,0.726333333,0.6177,0.2,74610,480,20,2,16633.35134,4.429654152,182.8229442
"4220","Bygland","Agder",0,3,1150.35,853,20.921334,210,0.981588032,825000,5e-04,0.0376,0.0202,957,56804.12891,-0.936222374,0.897483289,0.28795584,3418,0.943099976,1134,-13.98963731,48,0.29,29.3,109197.2083,814521.4113,410100,5.5,0.632666667,0.5197,1.4,88510,113,0,3,2314.321381,2.040847779,193.0405205
"4221","Valle","Agder",0,3,1129.8,1441,5.167272,255,1.63193658,1690000,0.001,0.0404,0.0154,1199,47373.46875,-0.80259198,-0.329567403,0.428342568,6694,0.946373165,1169,-19.1104934,47,0,40.2,10292.23306,1267955.699,444200,5.9,0.722666667,0.5953,6.3,87382,678,3,6,3818.547184,3.266507428,221.1002418
"4222","Bykle","Agder",0,3,1253.92,2732,7.059666,276,4.089820359,2765000,0.0015,0.0202,0.03,1069,36344.33203,-0.875447214,-1.165539503,0.730375699,1221,0.680446446,935,11.17511521,41,0.44,13.8,9943.018773,1803778.716,459700,6.6,0.759,0.6626,18.3,101940,27,8,7,14444.74548,15.44892564,256.1380888
"4224","Åseral","Agder",0,3,796.96,2244,7.399511,229,4.56097561,1860000,0.002,0.0301,0.0129,858,49134.46875,-1.596675277,1.084558964,0.287874225,7534,1.366672516,912,6.150341686,40,0,36.2,197908.8621,806705.5527,421100,2.1,0.759,0.6937,8.3,91265,61,10,1,3677.075659,4.031881205,123.8731249
"4228","Sirdal","Agder",0,3,1372.87,4221,13.785154,892,3.648228176,3200000,0.0025,0.0176,0.0092,1331,24103.85742,-2.105540991,0.590409338,0.316259861,9695,1.210212708,1810,5.074971165,41,0.48,25.9,357329.6992,718259.1096,458400,5.4,0.752333333,0.6492,14.3,85690,53,0,9,15856.8724,8.760702981,160.6922377
"4618","Ullensvang","Vestland",1,3,2963.56,2315,2.77821,1005,0.346816479,2300000,6e-04,0.0102,0.2021,1715,16425.03906,-1.489183426,-0.881046295,0.481036321,15444,0.719900548,10881,-11.18971061,46,0.69,17.2,134760.0261,881534.0501,443100,5.3,0.698666667,0.624,0.3,74601,318,8,8,51223.65076,4.70762345,184.5580663
"4619","Eidfjord","Vestland",1,3,1388.66,1271,1.846112,285,2.04340836,2175000,9e-04,0.0564,0.041,1860,20902.00391,-0.003133316,-1.662445664,0.640771386,1411,0.386062324,937,-12.63259402,47,0.58,20.2,33567.35889,692949.1089,460800,4.3,0.729,0.5355,4.8,94869,69.2637362637363,2,5,13290.9883,14.18461932,141.1270295
"4620","Ulvik","Vestland",1,3,663.21,285,0.14197,146,0.38,2410000,3e-04,0.0076,0.2421,1838,11788.6416,-1.445508957,-1.217743278,0.265914779,5666,0.789671123,1051,-11.6202946,48,0.49,30.3,152830.4827,515408.4651,411300,7.7,0.688666667,0.4828,5.4,99214,44,1,5,4801.178807,4.568200577,181.6275193
"4621","Voss","Vestland",1,3,1957.87,3534,1.525719,1250,0.410596026,3e+06,0.0015,0.0261,0.1227,1572,12650.82324,-2.236725569,0.270676792,0.057608524,32827,1.676858425,15875,6.567366283,42,0.63,19.2,343784.9686,574768.2914,432600,7.1,0.710333333,0.6477,2.1,67763,138,22,8,49018.19811,3.087760511,197.6278277
