"terms","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"veg_sections",0.0358105478180149,0.121325655702937,-0.216823004477563,0.301943064204802,0.00354214220491279,0.0154148117287458,-0.460348594238733,0.21425825578865,-0.207356230108058,-0.0636058798731466,0.163781506907143,-0.0385636377865732,0.080141257298921,0.183928930095479,-0.142429612631791,-0.204271229762578,0.076126412903522,-0.196234886092261,-0.0735408536994597,0.0881521399842058,0.0042828900278047,0.226821149228635,0.112212320030882,-0.15047615191092,0.045093057635292,0.0133991554775485,0.0728382364502655,-0.0901424590735447,-0.0392672711066864,0.246192208100961,-0.022620983151732,-0.268798990882457,0.335570182539961,0.0154662379116562,-0.0486346383396162,0.0127570851054734
"veg_zones",-0.232312649560868,-0.106094006091416,-0.170725854215832,-0.0868853481688881,-0.0835159802130594,-4.37777591606394e-05,0.221475707494995,-0.181859220363375,0.161920391367198,-0.0481809451129852,-0.14675767393088,0.0633844269886427,-0.0772299432132581,-0.241540827220554,0.0842008788760904,0.0542122681570573,-0.0280542222305593,-0.0554934734675953,-0.126505650417534,-0.0602425019940972,-0.0185176371954841,-0.126376963337192,0.155704361170718,0.304913210805546,0.185658651243983,-0.0385741434179731,-0.106023044370703,-0.10852096014379,0.05211773448315,0.467448646653324,0.0955769478681929,-0.348327334675839,0.329975231202731,0.0600343723481413,-0.0157838518184432,-0.0108021360736572
"prop_protected",0.154565606878381,0.133495614555951,0.164328267542597,0.0294216418394968,0.161515863243512,0.229178232470761,-0.0825331322378858,0.09365143401746,-0.274391479961268,-0.0433533582153878,0.0997509504952345,0.185956190934245,-0.0623403926038299,-0.555167730664127,0.240921303932859,0.156413066044943,-0.262879502199414,-0.378536764292398,0.135624536358999,0.190502888264585,-0.111031315389734,-0.0661686762569659,-0.027154907168106,-0.013947973740051,-0.0148931043576109,-0.0117205934972545,-0.0114217533047952,0.146447219491547,-0.0851175809842961,0.0594200042901396,0.003074184129375,0.0294917980772672,0.0266825958071704,0.00817308413211377,0.0274256622723154,-0.00890276022960074
"grazing_livestock",0.0687014042966378,0.165594218536714,0.17979939205567,-0.206831484837425,-0.129239745884649,-0.127424498777033,0.319365448641714,0.351499105169564,0.118523197822226,0.0657213319981672,0.344344024376672,0.0726881407758852,0.172953525185176,0.0754259553073946,-0.110612266671431,-0.217025539704034,-0.159831878812788,0.00569409738564103,0.272064218617127,0.046911016147576,-0.203089127962512,-0.171992124039753,0.278259308375082,-0.17320931524851,0.255868802482135,-0.0674205738050684,-0.0219325906947783,-0.123618766370036,0.0430709850739222,0.00922441250063289,0.120956272664747,-0.117019768968886,0.00862555620586673,0.0190936987942091,0.0161441868794976,0.0176038952385424
"infrastructure_index",-0.273676602720759,-0.0319702601725458,-0.172529154678219,-0.0981998810077883,0.0454931204018316,-0.0414564639971616,-0.00613587945546506,0.132815317080467,0.0370910434095039,0.116165845645509,0.065576504734924,-0.0653994731768607,-0.0641415828472203,-0.0147732024147081,-0.168231749353437,-0.0521697245166141,0.0139630041921684,-0.0914902528991,0.0983239737082332,0.0739651142307552,-0.144905549586171,0.119469366492899,-0.0274391976720574,-0.0174791799322097,-0.234614600795115,0.0396133607806396,-0.316668006775345,0.107928755601648,-0.0263422002713312,0.215719296735138,-0.135658127314745,0.158682647086872,-0.135675055698646,0.41813667949363,0.537641477442974,-0.0520609314241005
"population",-0.265909706693208,0.113551801394948,0.110052528121631,0.166751450958574,-0.0842622667044036,-0.111349439849285,0.133156886597748,0.114695577137264,-0.0419087011572608,-0.0757330512937698,0.0403471879611675,-0.0518966773255057,0.0526268254015484,-0.0505600611105871,-0.0538943658218938,-0.0633327419616849,0.0800170251562403,-0.120444174372967,-0.000329801209350215,-0.011229632074667,0.0449475409073736,0.0959127251394369,0.112981854762722,0.156941382148556,-0.0744860031697345,-0.0167982936833182,-0.141756424218619,0.10522263108986,-0.112233303676994,0.0582513876095684,-0.0960604976092166,0.185368867586275,-0.107233013417262,0.086332947363557,-0.515762926277537,-0.59232672408096
"population_change",-0.26939698717908,0.0712419942511178,0.0391581612842884,-0.037254411182513,-0.18589883455608,0.0635306375750192,-0.0448009489720259,-0.111299655907085,-0.102586250681078,-0.0131350359450392,0.162664449742328,0.0803742931536845,0.107322324289044,-0.00768932740748514,0.038950757574955,-0.0327450958836852,-0.119841565898777,0.194814111642942,-0.302164602239042,0.0451431882579114,-0.132675461363147,0.0924742756624521,-0.0180435188908368,-0.184962483048465,-0.0895978936694202,0.0895831263490603,0.131070241800656,0.36993444016233,0.218809076465505,0.151197352338032,0.573715897442923,0.172617250682078,0.0090872506552399,-0.0492123535994764,0.00541538885214673,-0.00271602258223462
"median_age",0.214470173949493,-0.0259942619510761,-0.172932155420724,0.0881793431701353,0.325603829970033,-0.0605051352253525,0.0301910964348264,0.111621163684983,0.0661283925444013,-0.00772429783621557,-0.0338245378341052,-0.0471382532725256,-0.152472104394684,-0.0861123003803019,-0.191353632562419,0.00120415590810651,0.331612361938631,-0.0766048900829354,0.259807364492295,0.119086769921838,0.301778065130939,-0.0354655239174877,0.0293257933379585,0.0966942711717903,0.170549128013814,0.0634588227458146,-0.0858925746186596,0.0177898636922362,0.123613341586698,0.137182947685205,0.536092674555889,0.197369466135581,-0.115642389235126,-0.0505390359544447,-0.0147293860074911,-0.00779181120120727
"urban_settlement_ratio",-0.234153351446209,0.0371994347283019,0.187753856242224,0.2323973433027,-0.00945047196406334,-0.0184842166641693,-0.083963190777507,-0.0345281911642144,-0.103362086981406,-0.0672061078700688,-0.183095911759348,-0.0596889490352718,0.0750418989832351,0.0588681040565155,0.0934155022947784,0.0761177538335508,-0.136057448263663,0.116329742161203,0.435557553585471,-0.128039446220572,0.0830465696866862,-0.201120215325526,0.0160952761323098,-0.109238383082447,-0.156275221877015,-0.122935286600816,0.132560102644618,-0.306757535204862,0.278802922981431,0.20620884695886,-0.0213712406211111,0.353164396169024,0.267280323997352,0.0130927160158046,0.0623607682429053,0.0110770657573872
"prop_farm_residents",0.230797009513943,0.0795978470567478,-0.164695572015106,-0.213046966472175,-0.0598816108583145,0.0913973593611705,0.132795297395438,0.056446466716677,0.131262174891025,0.178578960526593,0.18824266454765,0.12148867392009,0.0333647644846068,-0.0771386047166993,-0.0612646850570718,-0.117353660557962,0.215198565411389,-0.083472498928361,-0.196615858746109,0.197877135746852,-0.0386605060687132,0.000972396104071495,-0.0835823097300473,0.163821948725656,-0.234504203704598,-0.0905099108061448,0.107550620835144,-0.0439341889699668,0.347558617912368,0.059263137702277,-0.264667082051885,0.37363887753388,0.327303821720174,-0.133455616259904,-0.0940421452507412,0.0195298153714489
